manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
Markus Weinzierl,5,6,10,0.25033417883500736,0.34413818061251633,1129.3248772815384
Viktor Skripnik,4,5,10,0.2415335270327143,0.2947787364707546,1187.724570387296
Martin Schmidt,4,6,10,0.2202258205416967,0.32864727328818183,1225.8993777132425
Markus Krösche,4,6,10,0.22045454545454546,0.3215909090909091,1331.0000000000002
Dirk Schuster,5,5,10,0.2536109719334015,0.27219408854669463,1127.804168394332
Josep Guardiola i Sala,4,6,10,0.24396661230920577,0.3142964052179648,1090.2235085922794
Thomas Schaaf,5,7,10,0.2702078521939954,0.3568129330254042,1176.0
Huub Stevens,5,6,10,0.27197518097207857,0.3474663908996898,1117.0
Armin Veh,4,6,10,0.22146892655367234,0.34576271186440677,1183.0
Alexander Zorniger,5,6,10,0.25227272727272726,0.30113636363636365,1240.0
Michael Frontzeck,4,6,10,0.248642779587405,0.30836047774158526,1188.0
Markus Gisdol,4,6,10,0.23241206030150757,0.30904522613065327,1240.0
Mauricio Roberto Pochettino Trossero,4,7,10,0.23759177257237934,0.3632449408568375,971.7436157245198
Jürgen Klopp,4,6,10,0.22092262925860084,0.32271949041526626,986.6757975928391
Zinédine Zidane,4,6,10,0.24397021059852106,0.3349579249736264,1036.4752136711093
Massimiliano Allegri,5,6,10,0.2506565996589013,0.33924861404593315,1009.0969210238939
Diego Pablo Simeone,4,7,10,0.2340521500331086,0.368663728474334,1045.0209112791238
Luis Enrique Martínez García,4,6,10,0.23335263445422602,0.3425906872827305,1019.8886212922461
Carlo Ancelotti,4,6,10,0.2377585745790567,0.3330474411401548,1148.5175072820234
Josef Heynckes,5,6,10,0.254410514201159,0.3193203630340729,1218.6292391385598
Roberto Di Matteo,5,6,10,0.2592885375494071,0.32806324110671936,1485.0000000000002
Alex Ferguson,4,5,10,0.23545902628670776,0.29952125370506333,1053.4533427985657
Louis van Gaal,4,7,10,0.23038292624594908,0.3515735792895117,1023.0870891825386
José Mario Felix dos Santos Mourinho,4,6,10,0.24899193169612902,0.32450832661024803,1044.9730945579608
Rafael Benítez Maudes,5,6,10,0.26456927845966755,0.30915045675718,1295.9927718339854
Didier Deschamps,4,7,10,0.23914700737694292,0.3775243795672912,968.8646473117276
,4,6,10,0.2413754953215436,0.3110035520814843,1048.259884688737
Ștefan Kovács,5,6,10,0.28273441507414515,0.3014995020633927,1332.3202648857814
Cestmir Vycpalek,5,6,10,0.28484107579462103,0.30440097799511007,1345.0
Giovanni Invernizzi,5,5,10,0.2785276073619632,0.29570552147239265,1307.0
Rinus Michels,5,5,10,0.27190922033960896,0.257987459199791,1200.8860547401532
Ferenc Puskás,5,4,10,0.284789644012945,0.23624595469255663,1333.0
Dorival Silvestre Júnior,4,6,10,0.23920331566706066,0.30649528706538753,953.4278101824955
Néstor Gabriel Lorenzo,4,6,10,0.2373678873282869,0.33055094539849333,1004.7984964547979
Heimir Hallgrímsson,4,6,10,0.24612768732694162,0.30091360316384574,956.3984595920438
Fernando Ariel Batista,5,6,10,0.25538564518069196,0.310995175635993,1022.4038362786733
Marcelo Alberto Bielsa Caldera,5,6,10,0.25160028787933264,0.3085934173157875,1001.368944738593
Antônio Carlos Zago,4,7,10,0.23993418232317493,0.3636485595509229,939.0789071600748
Jorge Daniel Fossati Lurachi,5,7,10,0.25819204095416237,0.35378246535526015,970.7334811569482
Ricardo Alberto Gareca Nardi,4,6,10,0.2465012556102002,0.30655348218757966,996.7191706187173
Félix Sánchez Bas,4,6,10,0.2366187526174025,0.3177079604433708,968.5576520814996
Lionel Sebastián Scaloni,4,6,10,0.24026701775773213,0.31888459680341374,983.0982072855916
Daniel Oscar Garnero,4,6,10,0.24097864791819315,0.3096978950685113,959.4480401391902
Gregg Berhalter,4,6,10,0.23866728537006263,0.3091841886075732,915.6264553615173
Jaime Arturo Lozano Espín,4,5,10,0.2274204043595081,0.2983068992805123,1056.3182425803038
Jesse Marsch,5,6,10,0.25754661538101237,0.31656906769753157,1001.7365640861739
Gustavo Julio Alfaro,4,7,10,0.24724415088288768,0.3597534423901567,956.888321037945
Thomas Christiansen Tarín,4,6,10,0.2473305202279909,0.30648248705461545,873.5962604130781
John Herdman,5,6,10,0.254659011142372,0.34412123991759397,971.9392011705755
Walid Regragui,4,7,10,0.24191324880260429,0.3600104007123584,976.1903767990665
Gareth Southgate,4,6,10,0.22020748914342603,0.3414613453746575,865.8919503105272
Carlos Manuel Brito Leal Queiróz,4,6,10,0.24441854461623438,0.33329828866710126,968.6678515378529
Zlatko Dalić,4,6,10,0.2236092559579854,0.34833942758630676,944.6309971133376
Roberto Martínez Montoliú,4,7,10,0.2309351649124981,0.3924103412676305,994.1707719957247
Hajime Moriyasu,4,6,10,0.2194736060634208,0.32235268905065273,902.6942977104098
Robert Page,4,6,10,0.2414170039357502,0.32853117273629634,943.1225469355545
Jalel Kadri,4,6,10,0.23449479635278758,0.3327760727539208,1086.1032977016578
Murat Yakin,4,7,10,0.23017381314447993,0.3667449702313609,924.4010438257332
Rigobert Song Bahanag,5,7,10,0.2513863216266174,0.378003696857671,937.0
Fernando Manuel Fernandes da Costa Santos,4,6,10,0.24281784047898972,0.34866234837262855,961.9619881641784
Otto Addo,4,7,10,0.24166666666666667,0.3509259259259259,1060.0
Aliou Cissé,4,7,10,0.23771427558317204,0.35737652648200674,990.9204836912996
Czesław Michniewicz,4,6,10,0.24306581842450178,0.3374583519900148,937.7775984832732
Hervé Renard,4,6,10,0.2396618202385359,0.33487601428505004,1079.6952282372656
Kasper Hjulmand,4,6,10,0.22413888301146837,0.326232750568692,898.4079595302612
Hans-Dieter Flick,4,5,10,0.2490851719409884,0.2911768890614185,1010.6101978783315
Gerardo Daniel Martino,4,6,10,0.23387359267695867,0.32160411626664426,974.9203654271914
Adenor Leonardo Bacchi,4,6,10,0.22338296062929394,0.34833439666905713,950.4781346763131
Luis Fernando Suárez Guzman,4,5,10,0.24440898575282827,0.29614568120757473,997.6044994970097
Dragan Stojković,4,6,10,0.22062334327254857,0.3337110792624185,878.9778899947145
Graham James Arnold,4,6,10,0.22811895355305814,0.3322114570613476,1026.5037286621314
Diego Martín Alonso López,4,6,10,0.22265246853823814,0.3107454017424976,878.0
Paulo Jorge Gomes Bento,4,6,10,0.22265246853823814,0.3107454017424976,878.0
Hoalid Regragui,5,6,10,0.25612244897959185,0.3193877551020408,995.0
Akira Nishino,4,6,10,0.2244474034568705,0.34752767920841987,932.7526987836776
Hernán Darío Gómez Jaramillo,4,6,10,0.2376235005882022,0.3205498287605813,897.2816390996678
Adam Nawałka,4,6,10,0.22643441472203396,0.3305077430661179,979.7603806814086
Mladen Krstajić,4,6,10,0.2365218944113187,0.31734854341408253,1054.9145006430256
Vladimir Petković,4,7,10,0.24686430621238617,0.353714103012288,1136.1809896139046
Jan Olof Andersson,4,6,10,0.23333499953924697,0.3456331981750404,949.1381588493903
Tae-Yong Shin,4,6,10,0.23460082718424524,0.33687231244336974,1042.0427496784873
Joachim Löw,4,7,10,0.24574287021450053,0.3710148768496581,931.4392043809997
Juan Carlos Osorio Arbeláez,5,7,10,0.2688924797458917,0.37458640713669705,1064.9202008642228
Fernando Ruiz Hierro,4,7,10,0.23369596872054774,0.37538840261468875,892.6448739104292
Óscar Washington Tabárez Silva,4,6,10,0.2315330701246917,0.3289535377307072,996.6766739491628
Juan Antonio Pizzi Torroja,4,6,10,0.21682551211369383,0.34265166403206093,1018.9086976584313
Jorge Luis Sampaoli Moya,4,7,10,0.22241179451702717,0.37929198382241736,914.4669591650481
José Néstor Pekerman,4,6,10,0.24528536844307233,0.3098356360197613,1081.0166410756472
Nabil Maâloul,4,6,10,0.23196666740061475,0.3394343051829694,973.1139965706237
Stanislav Cherchesov,4,7,10,0.24463979933916807,0.3733397313468954,1048.6791837253197
Héctor Raúl Cúper,4,6,10,0.22103265375466705,0.3159148121115241,1062.656660810574
